age	workclass	marital_status	race
(68.1, 75.4]	government department	Widowhood	Non-White
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Self-employed	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	government department	Widowhood	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(60.8, 68.1]	Private-h1	Widowhood	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(60.8, 68.1]	Private-h1	Widowhood	White-h1
(31.6, 38.9]	Self-employed	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Widowhood	White-h1
(38.9, 46.2]	government department	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	government department	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Single	Non-White
(31.6, 38.9]	Private-h1	Married-h1	Non-White
(46.2, 53.5]	government department	Married-h1	White-h1
(46.2, 53.5]	government department	Married-h1	White-h1
(68.1, 75.4]	Self-employed	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	Non-White
(38.9, 46.2]	Private-h1	Married-h1	Non-White
(38.9, 46.2]	Private-h1	Married-h1	Non-White
(46.2, 53.5]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	government department	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	Non-White
(38.9, 46.2]	Private-h1	Married-h1	Non-White
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	government department	Married-h1	White-h1
(24.3, 31.6]	Self-employed	Single	Non-White
(46.2, 53.5]	Self-employed	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	government department	Married-h1	Non-White
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Self-employed	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(46.2, 53.5]	government department	Single	White-h1
(38.9, 46.2]	Private-h1	Single	Non-White
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Widowhood	Non-White
(31.6, 38.9]	Private-h1	Single	White-h1
(31.6, 38.9]	government department	Single	White-h1
(60.8, 68.1]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Single	White-h1
(60.8, 68.1]	Private-h1	Single	White-h1
(38.9, 46.2]	government department	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	Non-White
(16.927, 24.3]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(46.2, 53.5]	government department	Widowhood	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(75.4, 82.7]	Self-employed	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	Non-White
(53.5, 60.8]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	government department	Single	White-h1
(24.3, 31.6]	Private-h1	Single	Non-White
(16.927, 24.3]	Private-h1	Single	Non-White
(31.6, 38.9]	Self-employed	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	government department	Single	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(60.8, 68.1]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(46.2, 53.5]	Self-employed	Single	Non-White
(24.3, 31.6]	Self-employed	Single	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Single	Non-White
(38.9, 46.2]	Private-h1	Single	Non-White
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(38.9, 46.2]	Self-employed	Single	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Self-employed	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Self-employed	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(60.8, 68.1]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Widowhood	Non-White
(31.6, 38.9]	Private-h1	Single	Non-White
(24.3, 31.6]	government department	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Self-employed	Single	White-h1
(46.2, 53.5]	Self-employed	Single	White-h1
(60.8, 68.1]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(53.5, 60.8]	government department	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Self-employed	Married-h1	Non-White
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	government department	Single	Non-White
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(46.2, 53.5]	Self-employed	Married-h1	White-h1
(68.1, 75.4]	Self-employed	Single	White-h1
(38.9, 46.2]	government department	Single	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	Non-White
(53.5, 60.8]	Private-h1	Single	White-h1
(38.9, 46.2]	Self-employed	Single	Non-White
(24.3, 31.6]	Private-h1	Single	White-h1
(60.8, 68.1]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Self-employed	Married-h1	White-h1
(75.4, 82.7]	Private-h1	Widowhood	White-h1
(46.2, 53.5]	Self-employed	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	Non-White
(60.8, 68.1]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Married-h1	Non-White
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	Self-employed	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	Self-employed	Single	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Self-employed	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	Non-White
(16.927, 24.3]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(60.8, 68.1]	Private-h1	Married-h1	Non-White
(38.9, 46.2]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Single	Non-White
(38.9, 46.2]	Self-employed	Married-h1	Non-White
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	government department	Married-h1	Non-White
(31.6, 38.9]	Private-h1	Single	White-h1
(46.2, 53.5]	government department	Single	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(31.6, 38.9]	Self-employed	Married-h1	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(60.8, 68.1]	Self-employed	Married-h1	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(68.1, 75.4]	Private-h1	Single	White-h1
(53.5, 60.8]	government department	Single	Non-White
(82.7, 90.0]	Self-employed	Widowhood	White-h1
(38.9, 46.2]	Private-h1	Married-h1	Non-White
(24.3, 31.6]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	Non-White
(38.9, 46.2]	government department	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(60.8, 68.1]	Self-employed	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(75.4, 82.7]	Private-h1	Widowhood	White-h1
(75.4, 82.7]	government department	Widowhood	White-h1
(53.5, 60.8]	Self-employed	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	government department	Single	White-h1
(38.9, 46.2]	Self-employed	Married-h1	White-h1
(60.8, 68.1]	Private-h1	Widowhood	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	Non-White
(16.927, 24.3]	Private-h1	Single	Non-White
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(60.8, 68.1]	Self-employed	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(38.9, 46.2]	Self-employed	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(60.8, 68.1]	Self-employed	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Widowhood	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	government department	Married-h1	White-h1
(24.3, 31.6]	government department	Married-h1	White-h1
(24.3, 31.6]	Self-employed	Single	White-h1
(53.5, 60.8]	Private-h1	Widowhood	White-h1
(38.9, 46.2]	Private-h1	Married-h1	Non-White
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Widowhood	Non-White
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	government department	Single	White-h1
(31.6, 38.9]	government department	Single	Non-White
(24.3, 31.6]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Self-employed	Single	White-h1
(31.6, 38.9]	government department	Married-h1	Non-White
(38.9, 46.2]	government department	Single	Non-White
(53.5, 60.8]	government department	Married-h1	White-h1
(38.9, 46.2]	government department	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Widowhood	Non-White
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	Non-White
(24.3, 31.6]	Private-h1	Married-h1	Non-White
(46.2, 53.5]	Self-employed	Married-h1	White-h1
(38.9, 46.2]	Self-employed	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	Non-White
(16.927, 24.3]	government department	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	government department	Married-h1	Non-White
(24.3, 31.6]	government department	Single	Non-White
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Married-h1	Non-White
(38.9, 46.2]	Private-h1	Single	Non-White
(38.9, 46.2]	Private-h1	Married-h1	Non-White
(38.9, 46.2]	Self-employed	Married-h1	White-h1
(24.3, 31.6]	government department	Single	Non-White
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(68.1, 75.4]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	Non-White
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	government department	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	government department	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Self-employed	Single	White-h1
(60.8, 68.1]	Private-h1	Single	White-h1
(60.8, 68.1]	Self-employed	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Single	Non-White
(60.8, 68.1]	Self-employed	Widowhood	White-h1
(31.6, 38.9]	Private-h1	Married-h1	Non-White
(31.6, 38.9]	government department	Married-h1	White-h1
(24.3, 31.6]	government department	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Self-employed	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Self-employed	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Self-employed	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(82.7, 90.0]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Self-employed	Single	White-h1
(24.3, 31.6]	Self-employed	Single	White-h1
(24.3, 31.6]	government department	Single	Non-White
(24.3, 31.6]	Self-employed	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(38.9, 46.2]	government department	Married-h1	Non-White
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Self-employed	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	Non-White
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	government department	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(38.9, 46.2]	government department	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	Non-White
(38.9, 46.2]	Private-h1	Widowhood	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Single	Non-White
(31.6, 38.9]	Self-employed	Married-h1	White-h1
(31.6, 38.9]	Self-employed	Married-h1	White-h1
(46.2, 53.5]	Self-employed	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(68.1, 75.4]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(38.9, 46.2]	government department	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Self-employed	Married-h1	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(53.5, 60.8]	Self-employed	Married-h1	White-h1
(53.5, 60.8]	Private-h1	Single	White-h1
(60.8, 68.1]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	Non-White
(53.5, 60.8]	Self-employed	Married-h1	White-h1
(60.8, 68.1]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	Non-White
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(46.2, 53.5]	government department	Single	Non-White
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	government department	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	government department	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Self-employed	Widowhood	White-h1
(38.9, 46.2]	government department	Single	Non-White
(16.927, 24.3]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(60.8, 68.1]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Married-h1	Non-White
(24.3, 31.6]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(46.2, 53.5]	government department	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(16.927, 24.3]	government department	Single	Non-White
(31.6, 38.9]	Private-h1	Single	Non-White
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(16.927, 24.3]	Self-employed	Single	White-h1
(24.3, 31.6]	government department	Single	White-h1
(16.927, 24.3]	government department	Single	Non-White
(24.3, 31.6]	Private-h1	Single	Non-White
(31.6, 38.9]	Private-h1	Widowhood	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(53.5, 60.8]	government department	Married-h1	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(16.927, 24.3]	government department	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Self-employed	Married-h1	Non-White
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	Non-White
(31.6, 38.9]	Self-employed	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Private-h1	Widowhood	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(53.5, 60.8]	government department	Single	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(60.8, 68.1]	Self-employed	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(46.2, 53.5]	Self-employed	Single	White-h1
(16.927, 24.3]	government department	Single	White-h1
(24.3, 31.6]	Private-h1	Single	Non-White
(16.927, 24.3]	government department	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	White-h1
(31.6, 38.9]	government department	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Self-employed	Married-h1	White-h1
(38.9, 46.2]	Self-employed	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	Non-White
(38.9, 46.2]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(24.3, 31.6]	government department	Single	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(24.3, 31.6]	government department	Single	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	Non-White
(24.3, 31.6]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(68.1, 75.4]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Married-h1	Non-White
(24.3, 31.6]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Single	White-h1
(53.5, 60.8]	Private-h1	Widowhood	White-h1
(16.927, 24.3]	government department	Single	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(46.2, 53.5]	government department	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(46.2, 53.5]	government department	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	Non-White
(60.8, 68.1]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Self-employed	Married-h1	White-h1
(75.4, 82.7]	Private-h1	Single	White-h1
(31.6, 38.9]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(53.5, 60.8]	Self-employed	Married-h1	White-h1
(53.5, 60.8]	Self-employed	Married-h1	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(16.927, 24.3]	Private-h1	Single	White-h1
(24.3, 31.6]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	government department	Married-h1	Non-White
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	government department	Married-h1	Non-White
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(53.5, 60.8]	Self-employed	Married-h1	White-h1
(24.3, 31.6]	Private-h1	Single	White-h1
(31.6, 38.9]	government department	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	Non-White
(46.2, 53.5]	Self-employed	Married-h1	White-h1
(31.6, 38.9]	government department	Married-h1	Non-White
(16.927, 24.3]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Single	Non-White
(53.5, 60.8]	Private-h1	Married-h1	White-h1
(31.6, 38.9]	Private-h1	Single	Non-White
(31.6, 38.9]	Private-h1	Single	White-h1
(46.2, 53.5]	Private-h1	Single	White-h1
(24.3, 31.6]	government department	Single	White-h1
(46.2, 53.5]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Married-h1	White-h1
(38.9, 46.2]	Private-h1	Single	Non-White
